,y,Bedden,Lakki
0,2015,0.0,0.0
1,2016,0.0,0.0
2,2017,0.0,0.0
3,2018,0.0,0.0
4,2019,0.0,0.0
5,2020,0.0,0.0
6,2021,0.0,0.0
7,2022,0.0,0.0
8,2023,0.0,0.0
9,2024,0.0,248.0548
10,2025,0.0,261.7208
11,2026,0.0,276.2953
12,2027,0.0,287.8044
13,2028,0.0,297.2441
14,2029,0.0,305.4364
15,2030,0.0,311.0374
16,2031,0.0,311.0374
17,2032,0.0,311.0374
18,2033,0.0,311.0374
19,2034,0.0,311.0374
20,2035,0.0,311.0374
21,2036,327.5922,242.8086
22,2037,314.5699,288.4282
23,2038,431.821,206.1284
24,2039,388.8376,284.2687
25,2040,431.821,268.1231
26,2041,431.821,286.0728
27,2042,431.821,300.5894
28,2043,431.821,311.0374
29,2044,431.821,311.0374
30,2045,431.821,311.0374
31,2046,431.821,311.0374
32,2047,431.821,311.0374
33,2048,431.821,311.0374
34,2049,431.821,311.0374
35,2050,431.821,311.0374
36,2051,431.821,311.0374
37,2052,431.821,311.0374
38,2053,431.821,311.0374
39,2054,431.821,311.0374
40,2055,431.821,311.0374
41,2056,431.821,311.0374
42,2057,431.821,311.0374
43,2058,431.821,311.0374
44,2059,431.821,311.0374
45,2060,431.821,311.0374
46,2061,431.821,311.0374
47,2062,431.821,311.0374
48,2063,431.821,311.0374
49,2064,431.821,308.0286
50,2065,431.821,304.9531
51,2066,430.2309,305.3485
52,2067,428.3752,301.5184
53,2068,422.242,301.8394
54,2069,431.821,286.3182
55,2070,423.7303,301.8394
