,y,Aswan 1 FPV,Aswan 2 FPV,High Aswan Dam FPV
0,2023.0,1.9639,1.8937,2.1004
1,2024.0,1.9639,1.8937,4.2008
2,2025.0,1.9639,1.8937,4.2008
3,2026.0,1.9639,1.8937,4.2008
4,2027.0,1.9639,1.8937,4.2008
5,2028.0,1.9639,1.8937,4.2008
6,2029.0,1.9639,1.8937,4.2008
7,2030.0,1.9639,1.8937,4.2008
8,2031.0,1.9639,1.8937,4.2008
9,2032.0,1.9639,1.8937,4.2008
10,2033.0,1.9639,1.8937,4.2008
11,2034.0,1.9639,1.8937,4.2008
12,2035.0,1.9639,1.8937,4.2008
13,2036.0,1.9639,1.8937,4.2008
14,2037.0,1.9639,1.8937,4.2008
15,2038.0,1.9639,1.8937,6.3012
16,2039.0,1.9639,1.8937,8.4016
17,2040.0,1.9639,1.8937,10.502
18,2041.0,1.9639,1.8937,14.7028
19,2042.0,1.9639,1.8937,14.7028
20,2043.0,1.9639,1.8937,14.7028
21,2044.0,1.9639,1.8937,14.7028
22,2045.0,1.9639,1.8937,14.7028
23,2046.0,1.9639,1.8937,14.7028
24,2047.0,1.9639,1.8937,14.7028
25,2048.0,1.9639,1.8937,14.7028
26,2049.0,1.9639,1.8937,14.7028
27,2050.0,1.9639,1.8937,14.7028
28,2051.0,1.9639,1.8937,14.7028
29,2052.0,1.9639,1.8937,14.7028
30,2053.0,1.9639,1.8937,14.7028
31,2054.0,1.9639,1.8937,14.7028
32,2055.0,1.9639,1.8937,14.7028
33,2056.0,1.9639,1.8937,14.7028
34,2057.0,1.9639,1.8937,14.7028
35,2058.0,1.9639,1.8937,14.7028
36,2059.0,1.9639,1.8937,14.7028
37,2060.0,1.9639,1.8937,14.7028
38,2061.0,1.9639,1.8937,14.7028
39,2062.0,1.9639,1.8937,14.7028
40,2063.0,1.9639,1.8937,14.7028
41,2064.0,1.9639,1.8937,14.7028
42,2065.0,1.9639,1.8937,14.7028
43,2066.0,1.9639,1.8937,14.7028
44,2067.0,1.9639,1.8937,14.7028
45,2068.0,1.9639,1.8937,14.7028
46,2069.0,1.9639,1.8937,14.7028
47,2070.0,1.9639,1.8937,14.7028
