,y,Oil,Gas,Hydro,Solar PV,Geothermal
0,2015.0,0.161,0.0,0.0,0.0,0.0
1,2016.0,0.161,0.0,0.0,0.0,0.0
2,2017.0,0.225,0.0,0.0,0.0,0.0
3,2018.0,0.337,0.0,0.0,0.0,0.0
4,2019.0,0.449,0.0,0.0,0.0,0.0
5,2020.0,0.449,0.258,0.0,0.0,0.0
6,2021.0,0.447,0.267,0.0,0.0,0.0
7,2022.0,0.446,0.288,0.0,0.0,0.0
8,2023.0,0.444,0.298,0.0,0.0,0.0
9,2024.0,0.443,0.298,0.41,0.0,0.0
10,2025.0,0.311,0.298,0.41,0.0,0.0
11,2026.0,0.309,0.298,0.41,0.0,0.0
12,2027.0,0.245,0.298,0.41,0.0,0.0
13,2028.0,0.131,0.298,0.41,0.0,0.0
14,2029.0,0.018,0.298,0.41,0.0,0.0
15,2030.0,0.016,0.298,0.41,0.0,0.0
16,2031.0,0.014,0.298,0.41,0.0,0.0
17,2032.0,0.013,0.298,0.41,0.0,0.0
18,2033.0,0.011,0.337,0.41,0.0,0.0
19,2034.0,0.01,0.384,0.41,0.0,0.0
20,2035.0,0.008,0.435,0.41,0.0,0.0
21,2036.0,0.006,0.435,0.98,0.0,0.0
22,2037.0,0.005,0.435,0.98,0.0,0.0
23,2038.0,0.003,0.435,0.98,0.0,0.0
24,2039.0,0.002,0.435,0.98,0.0,0.0
25,2040.0,0.0,0.435,0.98,0.0,0.0
26,2041.0,0.0,0.435,0.98,0.0,0.0
27,2042.0,0.0,0.467,0.98,0.0,0.0
28,2043.0,0.0,0.523,0.98,0.0,0.013
29,2044.0,0.0,0.544,0.98,0.0,0.07
30,2045.0,0.0,0.566,0.98,0.0,0.13
31,2046.0,0.0,0.59,0.98,0.0,0.194
32,2047.0,0.0,0.614,0.98,0.0,0.261
33,2048.0,0.0,0.64,0.98,0.0,0.332
34,2049.0,0.0,0.654,0.98,0.154,0.385
35,2050.0,0.0,0.646,0.98,0.565,0.4
36,2051.0,0.0,0.648,0.98,0.774,0.4
37,2052.0,0.0,0.652,0.98,0.99,0.4
38,2053.0,0.0,0.657,0.98,1.192,0.4
39,2054.0,0.0,0.663,0.98,1.382,0.4
40,2055.0,0.0,0.663,0.98,1.664,0.4
41,2056.0,0.0,0.663,0.98,1.957,0.4
42,2057.0,0.0,0.663,0.98,2.259,0.4
43,2058.0,0.0,0.663,0.98,2.571,0.4
44,2059.0,0.0,0.663,0.98,2.925,0.4
45,2060.0,0.0,0.664,0.98,3.291,0.4
46,2061.0,0.0,0.67,0.98,3.525,0.4
47,2062.0,0.0,0.677,0.98,3.762,0.4
48,2063.0,0.0,0.684,0.98,4.004,0.4
49,2064.0,0.0,0.684,0.98,4.282,0.4
50,2065.0,0.0,0.684,0.98,4.566,0.4
51,2066.0,0.0,0.684,0.98,4.857,0.4
52,2067.0,0.0,0.684,0.98,5.154,0.4
53,2068.0,0.0,0.684,0.98,5.458,0.4
54,2069.0,0.0,0.684,0.98,5.768,0.4
55,2070.0,0.0,0.684,0.98,6.086,0.4
