,y,Biomass & Waste CHP plant - OTF/OTS cooling (new),Biomass & Waste CHP plant - OTF/OTS cooling (old),Coal power plant - OTF/OTS cooling (new),Oil fired gas turbine (SCGT) - Air cooling (new),Oil fired gas turbine (SCGT) - Air cooling (old),Oil fired gas turbine (SCGT) - MDT cooling (new),Oil fired gas turbine (SCGT) - MDT cooling (old),Oil fired gas turbine (SCGT) - OTF/OTS cooling (old),Aswan 1,Aswan 2,Esna,High Aswan Dam,Small hydropower plant,Medium hydropower plant (Run-of river),Large hydropower plant (Dam),New Assiut Barrage,Naga Hamadi,Light Fuel Oil power plant - OTF/OTS cooling (new),Light Fuel Oil power plant - OTF/OTS cooling (old),Natural gas power plant (combined cycle) - Air cooling (new),Natural gas power plant (combined cycle) - Air cooling (old),Natural gas power plant (combined cycle) - MDT cooling (new),Natural gas power plant (combined cycle) - MDT cooling (old),Natural gas power plant (combined cycle) - OTF/OTS cooling (new),Natural gas power plant (combined cycle) - OTF/OTS cooling (old),Natural gas power plant (single cycle) - MDT cooling (old),Natural gas power plant (single cycle) - OTF/OTS cooling (new),Natural gas power plant (single cycle) - OTF/OTS cooling (old),CSP (without storage),CSP (with storage),Solar PV (utility),Solar PV (roof top),Solar PV with storage,Wind (onshore),Wind (offshore)
0,2015.0,0.0,0.832,0.0,0.0,0.1401,1.0,0.121,1.012269,0.28,0.27,0.086,2.1,0.0008,0.14968,2.692,0.03174,0.064,0.35,0.296592,0.6,2.205,0.0,0.76076,0.25,10.58078,2.32805,1.95,12.123019,0.0,0.0,0.010175,0.0,0.0,0.791,0.0
1,2016.0,0.25,0.832,0.0,1.0,0.1401,1.0,0.121,1.012269,0.28,0.27,0.086,2.1,0.0008,0.14968,2.692,0.03174,0.064,0.872,0.296592,0.6,2.205,0.0,0.76076,0.75,10.58078,2.32805,2.6,12.123019,0.0,0.0,0.040175,0.0,0.0,0.9910000000000001,0.0
2,2017.0,0.25,0.832,0.0,1.0,0.1401,1.0,0.121,1.012269,0.28,0.27,0.086,2.1,0.0008,0.14968,2.692,0.03174,0.064,0.872,0.296592,0.6,2.205,0.0,0.76076,1.5,10.58078,2.32805,2.9299999999999997,12.123019,0.0,0.0,0.040175,0.0,0.0,0.9910000000000001,0.0
3,2018.0,0.25,0.832,0.0,1.0,0.1401,1.0,0.121,1.012269,0.28,0.27,0.086,2.1,0.0008,0.18168,2.692,0.03174,0.064,0.872,0.296592,0.6,2.205,9.6,0.76076,6.3,10.58078,2.32805,4.88,12.123019,0.0,0.0,0.09017499999999999,0.0,0.0,1.331,0.0
4,2019.0,0.25,0.832,0.0,1.0,0.1401,1.0,0.121,1.012269,0.28,0.27,0.086,2.1,0.0008,0.18168,2.692,0.03174,0.064,0.872,0.296592,0.6,2.205,9.6,0.76076,6.3,10.58078,2.32805,4.88,12.123019,0.0,0.0,0.09017499999999999,0.0,0.0,1.331,0.0
5,2020.0,0.25,0.832,0.0,1.0,0.1401,1.0,0.121,1.012269,0.28,0.27,0.086,2.1,0.0008,0.18168,2.692,0.03174,0.064,0.872,0.296592,0.6,2.205,9.6,0.76076,6.3,10.58078,2.32805,4.88,12.123019,0.0,0.0,0.190175,0.0,0.0,1.331,0.0
6,2021.0,0.35,0.7904,0.0,1.0,0.133095,1.0,0.11495,0.96165555,0.28,0.27,0.086,2.1,0.0008,0.18168,2.692,0.03174,0.064,0.872,0.2817624,0.6,2.09475,9.6,0.722722,6.3,10.051741,2.2116475,4.88,11.51686805,0.4,0.4,0.44016625,0.1,0.1,1.55345,0.0
7,2022.0,0.45,0.7488,0.0,1.0,0.12609,1.0,0.1089,0.9110421,0.28,0.27,0.086,2.1,0.0008,0.18168,2.692,0.03174,0.064,0.872,0.2669328,0.6,1.9845,9.6,0.684684,6.3,9.522702,2.095245,4.88,10.9107171,0.6,0.6,0.6901575,0.15,0.15,1.7759,0.25
8,2023.0,0.45,0.7072,0.0,1.0,0.119085,1.0,0.10285,0.86042865,0.28,0.27,0.086,2.1,0.0008,0.43168000000000006,3.192,0.03174,0.064,0.872,0.2521032,0.6,1.87425,9.6,0.646646,6.3,8.993663,1.9788425,4.88,10.30456615,0.6,0.6,0.9401487500000001,0.2,0.2,1.99835,0.25
9,2024.0,0.45,0.6656,0.0,1.0,0.11208,1.0,0.0968,0.8098152,0.28,0.27,0.086,2.1,0.0008,0.43168000000000006,3.192,0.03174,0.064,0.872,0.2372736,0.6,1.764,9.6,0.608608,6.3,8.464624,1.86244,4.88,9.6984152,0.6,0.6,1.19014,0.25,0.25,2.2208,0.25
10,2025.0,0.45,0.416,3.0,1.0,0.105075,1.0,0.09075,0.75920175,0.28,0.27,0.086,2.1,0.0008,0.43168000000000006,3.192,0.03174,0.064,0.872,0.222444,0.6,1.65375,9.6,0.57057,6.3,7.935585,1.7460375,4.88,9.09226425,0.6,0.6,1.44013125,0.3,0.3,2.44325,0.25
11,2026.0,0.45,0.3744,6.0,1.0,0.09807,1.0,0.0847,0.7085883,0.28,0.27,0.086,2.1,0.0008,0.43168000000000006,3.192,0.03174,0.064,0.872,0.2076144,0.6,1.5435,9.6,0.532532,6.3,7.406546,1.629635,4.88,8.4861133,0.6,0.6,1.5221092106137204,0.35,0.35,2.6657,0.25
12,2027.0,0.45,0.3328,6.0,1.0,0.091065,1.0,0.07865,0.65797485,0.28,0.27,0.086,2.1,0.0008,0.43168000000000006,3.192,0.03174,0.064,0.872,0.1927848,0.6,1.43325,9.6,0.494494,6.3,6.877507,1.5132325,4.88,7.87996235,0.6,0.6,1.5507048013610192,0.4,0.4,2.8881500000000004,0.25
13,2028.0,0.45,0.2912,6.0,1.0,0.08406,1.0,0.0726,0.6073614,0.28,0.27,0.086,2.1,0.0008,0.43168000000000006,3.192,0.03174,0.064,0.872,0.1779552,0.6,1.323,9.6,0.456456,6.3,6.348468,1.39683,4.88,7.2738114,0.6,0.6,1.550696051361019,0.44999999999999996,0.4002096445982958,3.1106,0.25
14,2029.0,0.45,0.2496,6.0,1.0,0.077055,1.0,0.06655,0.55674795,0.28,0.27,0.086,2.1,0.0008,0.43168000000000006,3.192,0.03174,0.064,0.872,0.1631256,0.6,1.21275,9.6,0.418418,6.3,5.819429,1.2804275,4.88,6.66766045,0.6,0.6,1.5792148364963159,0.5,0.5,3.33305,0.25
15,2030.0,0.45,0.208,6.0,1.0,0.07005,1.0,0.0605,0.5061345,0.28,0.27,0.086,2.1,0.0008,0.43168000000000006,3.192,0.03174,0.064,0.872,0.148296,0.6,1.1025,9.6,0.38038,6.3,5.29039,1.164025,4.88,6.0615095,0.6,0.6,1.5792060864963158,0.5,0.5,3.5555000000000003,0.25
16,2031.0,0.45,0.1664,6.0,1.0,0.063045,1.0,0.05445,0.45552105,0.28,0.27,0.086,2.1,0.0008,0.43168000000000006,3.192,0.03174,0.064,0.872,0.1334664,0.6,0.99225,9.6,0.342342,6.3,4.761351,1.0476225,4.88,5.45535855,0.6,0.6,2.003352867864043,0.6,0.5627213664427385,4.02795,0.25
17,2032.0,0.45,0.1248,6.0,1.0,0.05604,1.0,0.0484,0.4049076,0.28,0.27,0.086,2.1,0.0008,0.5775339460584832,3.192,0.03174,0.064,0.872,0.1186368,0.6,0.882,9.6,0.304304,6.3,4.232312,0.93122,4.88,4.8492076,0.6,0.6,2.5033441178640428,0.6499999999999999,0.6499999999999999,4.500400000000001,0.25
18,2033.0,0.45,0.0831999999999999,6.0,1.0,0.049035,1.0,0.04235,0.35429415,0.28,0.27,0.086,2.1,0.0008,0.6816800000000001,3.192,0.03174,0.064,0.872,0.1038072,0.6,0.77175,9.6,0.266266,6.3,3.703273,0.8148175,4.88,4.24305665,0.6,0.6,3.003335367864043,0.7,0.7,4.97285,0.25
19,2034.0,0.45,0.0416,6.0,1.0,0.04203,1.0,0.0363,0.3036807,0.28,0.27,0.086,2.1,0.0008,0.9316800000000001,3.692,0.03174,0.064,0.872,0.0889776,0.6,0.6615,9.6,0.228228,6.3,3.174234,0.698415,4.88,3.6369057,0.6,0.6,3.503326617864043,0.75,0.75,5.4453000000000005,0.25
20,2035.0,0.45,0.0,6.186467635271689,1.0,0.035025,1.0,0.03025,0.25306725,0.28,0.27,0.086,2.1,0.0008,0.9316800000000001,3.692,0.03174,0.064,0.872,0.074148,0.6798842456042665,0.55125,9.6,0.19019,6.723028601860479,2.645195,0.5820125,4.88,3.03075475,0.6,0.6,4.003317867864043,0.7999999999999999,0.7999999999999999,5.917750000000001,0.25
21,2036.0,0.45,0.0,7.186467635271689,1.0,0.02802,1.0,0.0242,0.2024538,0.28,0.27,0.086,2.1,0.0008,0.9316800000000001,3.692,0.03174,0.064,0.872,0.0593184,1.3552470416875457,0.441,9.6,0.152152,6.723028601860479,2.116156,0.46561,4.88,2.4246038,0.6,0.6,4.503309117864042,0.8499999999999998,0.8499999999999998,6.3902,0.25
22,2037.0,0.45,0.0,8.18646763527169,1.0,0.021015,1.0,0.01815,0.15184035,0.28,0.27,0.086,2.1,0.0008,0.9316800000000001,3.692,0.03174,0.064,0.872,0.0444888,1.899029644847333,0.33075,9.709737676339104,0.114114,6.723028601860479,1.587117,0.3492075,4.88,1.81845285,0.6,0.6,5.003300367864042,0.8999999999999998,0.8999999999999998,6.86265,0.25
23,2038.0,0.45,0.0,9.18646763527169,1.0,0.01401,1.0,0.0121,0.1012269,0.28,0.27,0.086,2.1,0.0008,0.9316800000000001,3.692,0.03174,0.064,0.872,0.0296592,2.899029644847333,0.2205,10.13194197337487,0.076076,6.723028601860479,1.058078,0.232805,4.88,1.2123019,0.6,0.6,5.503291617864042,0.9499999999999998,0.9499999999999998,7.3351,0.25
24,2039.0,0.45,0.0,10.18646763527169,1.0,0.007005,1.0,0.00605000000000001,0.0506134500000001,0.28,0.27,0.086,2.1,0.0008,0.9316800000000001,3.692,0.03174,0.064,0.872,0.0148296,3.899029644847333,0.11025,11.13194197337487,0.038038,7.723028601860479,0.529039000000001,0.1164025,4.88,0.60615095,0.6,0.6,6.003282867864042,0.9999999999999999,0.9999999999999999,7.80755,0.25
25,2040.0,0.45,0.0,11.18646763527169,1.0,0.0,0.0,0.0,0.0,0.28,0.27,0.086,2.1,0.0008,0.9316800000000001,3.692,0.03174,0.064,0.522,0.0,4.899029644847333,0.0,12.13194197337487,0.0,8.723028601860479,0.0,0.0,3.5963696430600276,0.0,0.6,0.6,6.493282867864042,1.0499999999999998,1.05,8.04,0.25
26,2041.0,0.45,0.0,12.68646763527169,0.0,0.0,0.0,0.0,0.0,0.28,0.27,0.086,2.1,0.0008,1.1816800000000003,4.192,0.03174,0.064,0.0,0.0,6.3990296448473325,0.0,12.13194197337487,0.0,9.275911504466123,0.0,0.0,2.9463696430600277,0.0,0.6,0.6,7.2132828678640415,1.0999999999999999,1.1,8.59,0.25
27,2042.0,0.45,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.28,0.27,0.086,2.1,0.0008,1.1816800000000003,4.192,0.03174,0.064,0.0,0.0,6.3990296448473325,0.0,12.13194197337487,0.0,9.37758517179786,0.0,0.0,3.422367437099793,0.0,0.6,0.6,7.9632828678640415,1.15,1.15,9.34,0.25
28,2043.0,0.45,0.0,14.5,0.0,0.0,0.0,0.0,0.0,0.28,0.27,0.086,2.1,0.0008,1.1816800000000003,4.192,0.03174,0.064,0.0,0.0,6.726147018304751,0.0,13.63194197337487,0.0,9.37758517179786,0.0,0.0,2.972367437099793,0.0,0.6,0.6,8.663282867864044,1.1999999999999997,1.2,9.75,0.25
29,2044.0,0.45,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.28,0.27,0.086,2.1,0.0008,1.1816800000000003,4.192,0.03174,0.064,0.0,0.0,6.726147018304751,0.0,13.63194197337487,0.0,10.394450880316711,0.0,0.0,3.2990572950195736,0.0,0.6,0.6,9.413282867864044,1.2499999999999998,1.25,10.5,0.25
